Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
962,House,23500000,DHA Defence,Lahore,5,For Sale,4,10.0
963,House,15000000,Samanabad,Lahore,6,For Sale,5,6.0
965,House,35000000,Eden,Lahore,6,For Sale,5,20.0
966,House,32000000,DHA Defence,Lahore,5,For Sale,4,10.0
968,House,20000000,New Super Town,Lahore,3,For Sale,3,10.0
969,House,37500000,West Wood Housing Society,Lahore,6,For Sale,6,20.0
970,House,41500000,DHA Defence,Lahore,6,For Sale,5,20.0
972,House,35000000,DHA Defence,Lahore,6,For Sale,5,20.0
973,House,37500000,DHA Defence,Lahore,6,For Sale,5,20.0
975,House,42500000,DHA Defence,Lahore,6,For Sale,5,20.0
977,House,22200000,Askari,Lahore,3,For Sale,3,10.0
979,House,30000000,DHA Defence,Lahore,6,For Sale,5,10.0
980,House,13000000,Ghulam Mohammad Abad,Faisalabad,3,For Sale,4,7.0
982,Flat,2200000,Liaquat Bagh,Rawalpindi,1,For Sale,2,2.0
983,House,43000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,20.0
984,House,25000000,Askari 11,Rawalpindi,5,For Sale,6,10.0
985,House,9500000,Khayaban-e-Sir Syed,Rawalpindi,3,For Sale,5,3.0
986,House,14000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,7.0
987,House,35000000,Askari 14,Rawalpindi,5,For Sale,4,16.0
988,House,100000,Muslim Town,Faisalabad,5,For Rent,5,38.0
989,Flat,17000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,3.5
990,Upper Portion,40000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,20.0
991,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
992,Lower Portion,80000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,2,10.0
993,House,75000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
994,Lower Portion,24000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,7.0
995,Upper Portion,25000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10.0
998,House,75000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
999,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
1000,House,135000,Navy Housing Scheme Karsaz,Karachi,6,For Rent,5,14.0
1001,Flat,175000,DHA Defence,Karachi,3,For Rent,3,14.2
1002,Lower Portion,45000,North Nazimabad,Karachi,3,For Rent,3,8.0
1003,Flat,35000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,7.6
1004,Lower Portion,19000,New Karachi,Karachi,2,For Rent,2,5.1
1005,Flat,6600000,Nazimabad,Karachi,2,For Sale,2,4.7
1007,House,3500000,Northern Bypass,Karachi,3,For Sale,3,5.0
1008,House,14000000,Federal B Area,Karachi,3,For Sale,6,4.8
1009,House,11500000,Bahria Town Karachi,Karachi,3,For Sale,3,8.0
1010,Flat,17000000,Jamshed Town,Karachi,3,For Sale,3,7.1
1011,Flat,7500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,5.0
1012,Flat,4500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,3.8
1013,Flat,2500000,Gulistan-e-Jauhar,Karachi,1,For Sale,1,2.0
1014,Penthouse,10500000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,3,7.8
